name,description,cpf,online,duration,unit,level,degree,category,subcategory,organism,cities,price
Anglais certification CLOE,La certification CLOE Anglais permet d’évaluer et de certifier les compétences générales et professionnelles en anglais du niveau A1 au niveau C2 du Cadre Européen Commun de Référence pour les Langues (CECRL).,checked,online,8,Hour,"Avoir un ordinateur avec une connexion internet, une webcam, un micro",Certification CLOE validée par la CCI France,Langues,Anglais,Mda ACADEMY,A distance,890
Anglais certification TOEIC,"Le TOEIC® Official Learning and Preparation Course s’adresse aux personnes souhaitant se préparer au test TOEIC ANGLAIS. Ce programme est composé de 3 modules d’apprentissage progressifs, du niveau débutant à avancé.",checked,online,94,Hour,"Avoir un ordinateur avec une connexion internet, une webcam, un micro - Pré évaluation du niveau avant le début de la formation",Certification TOEIC® Listening and Reading,Langues,Anglais,Mda ACADEMY,A distance,990
Anglais général et professionnel - Niveau de survie (A2) - 20h en 1to1,Comprendre des phrases isolées et des expressions fréquemment utilisées en relation avec des domaines immédiats de priorité. Communiquer lors de tâches simples et habituelles ne demandant qu'un échange d'informations simple et direct sur des sujets familiers et habituels.,checked,online,3,Day,Niveau A1.1 / A1 sur l'échelle CECRL. Outils préconisés : Skype ou Zoom. Caméra et micro-casque indispensables.,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Langues,Anglais,Ziggourat Formation,"A distance, Paris",0
Anglais général et professionnel - Niveau seuil (B1) - 20h en 1to1,"Comprendre les points essentiels quand un langage clair et standard est utilisé et s'il s'agit de choses familières dans le travail, à l'école, dans les loisirs, etc. Se débrouiller dans la plupart des situations rencontrées en voyage dans une région où la langue cible est parlée. Produire un discours simple et cohérent sur des sujets familiers et dans ses domaines d'intérêt.",checked,online,3,Day,"Niveau A2 sur l'échelle CECRL. Outils préconisés : Skype ou Zoom. Caméra et micro-casque indispensables.
Avoir suivi Anglais général et professionnel - Niveau de survie (A2) - 20h en 1to1",Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Langues,Anglais,Ziggourat Formation,"A distance, Paris",0
Animer efficacement vos réunions,Apprendre les techniques de conduite de réunion.,checked,online,2,Day,Aucun prérequis n'est nécessaire pour ce stage.,Vous avez la possibilité de passer une certification à l’issue de votre formation : Management/Animer une réunion participative,Communication,Animer réunion,Ziggourat Formation,"A distance, Paris",1200
Apprendre à déléguer,Préparer la délégation pour en faire un acte managérial efficace et un instrument de performance individuelle et collective. Mener un entretien de délégation pour motiver le délégataire et générer un accord commun sur les modalités de la délégation.,checked,online,2,Day,Aucun prérequis n'est nécessaire pour cette formation.,Vous avez la possibilité de passer une certification à l’issue de votre formation :  Management/Déléguer,Management,AutoCAD,Ziggourat Formation,"A distance, Paris",1200
Apprendre à souder,"Cette formation intensive et certifiante vise à vous transmettre les gestes, techniques et outils essentiels de la soudure afin d'exécuter vos assemblages soudés.",checked,face to face,,,Débutant,Certification,Manuel,,Make Ici,"Montreuil, Nantes, Marseille",0
Apprendre Wordpress,"Vous apprenez à réaliser un site web simple.
Tous les points sont illustrés par des apports pratiques.
Tous vos exercices et cas pratiques vous sont remis à l’issue de votre formation.
Les participants réalisent un site WordPress qu’ ils mettent en ligne pendant le temps de la formation.
Le formateur apporte conseils et exemples en rapport avec le site des participants.",checked,online,35,Hour,Aucun,À l’issue de la formation vous pourrez passer si vous le souhaitez la certification Management de la performance qui vous permettra d’attester votre niveau acquis.,Informatique,WordPress,Goo Formation,A distance,1750
Apprenti maker,"Un parcours pour vous orienter vers les métiers du ""faire"", à travers des ateliers d'initiation, des rencontres avec des professionnels du secteur, des modules de formation aux compétences numériques essentielles adaptées à l'artisanat, et un accompagnement à la définition de votre projet professionnel. Venez découvrir l'univers du design, de l'artisanat et des makers, et démarrer une nouvelle aventure professionnelle vers des métiers de passion.",,face to face,210,Hour,Débutant,Certification : Maîtrise des techniques de conception de dessins techniques structurés.,Manuel,,Make Ici,"Montreuil, Nantes, Marseille",0
AutoCAD 2D Consolidation,"Comprendre les concepts d'un système DAO. Utiliser les menus, raccourcis, icônes et les outils les plus appropriés.",checked,online,2,Day,"Connaissances de base du système d'exploitation Windows ou MAC Os (Manipulation de fichiers et répertoires) et avoir des notions de dessin.
Avoir suivi AutoCAD 2D Initiation et AutoCAD 2D Les bases",Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,AutoCAD,Ziggourat Formation,"A distance, Paris",800
AutoCAD 2D Expert,"Comprendre les concepts d'un système DAO. Utiliser les menus, raccourcis, icônes et les outils les plus appropriés.",checked,online,3,Day,"Bonnes connaissances d'AutoCAD 2D ou avoir suivi les formations AutoCAD 2D Initiation et Intermédiaire.
Avoir suivi AutoCAD 2D Initiation",Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,AutoCAD,Ziggourat Formation,"A distance, Paris",1200
AutoCAD 2D Initiation,"Comprendre les concepts d'un système DAO. Utiliser les menus, raccourcis, icônes et les outils les plus appropriés.",checked,online,5,Day,Bonne connaissance de votre environnement de travail. Toute connaissance en dessin industriel est un plus.,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,AutoCAD,Ziggourat Formation,"A distance, Paris",1900
AutoCAD 2D Les bases,"Comprendre les concepts d'un système DAO. Utiliser les menus, raccourcis, icônes et les outils les plus appropriés.",checked,online,3,Day,Bonne connaissance de votre environnement de travail. Toute connaissance en dessin industriel est un plus.,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,AutoCAD,Ziggourat Formation,"A distance, Paris",1250
AutoCAD 2D Perfectionnement,"Comprendre les concepts d'un système DAO. Utiliser les menus, raccourcis, icônes et les outils les plus appropriés.",checked,online,5,Day,"Bonnes connaissances d'AutoCAD 2D ou avoir suivi les formations AutoCAD 2D Initiation et Intermédiaire.
Avoir suivi AutoCAD 2D Initiation",Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,AutoCAD,Ziggourat Formation,"A distance, Paris",1900
AutoCAD 3D Initiation,"Comprendre les concepts d'un système DAO. Utiliser les menus, raccourcis, icônes et les outils les plus appropriés.",checked,online,5,Day,"Avoir suivi les formations AutoCAD 2D Initiation et Perfectionnement ou posséder les connaissances équivalentes.
Avoir suivi AutoCAD 2D Perfectionnement et AutoCAD 2D Initiation",Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,AutoCAD,Ziggourat Formation,"A distance, Paris",1900
AutoCAD 3D Perfectionnement,"Comprendre les concepts d'un système DAO. Utiliser les menus, raccourcis, icônes et les outils les plus appropriés.",checked,online,5,Day,"Avoir suivi les formations AutoCAD 3D Initiation ou posséder les connaissances équivalentes.
Avoir suivi AutoCAD 3D Initiation",Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,AutoCAD,Ziggourat Formation,"A distance, Paris",1900
AutoCAD MAP 3D Initiation,"Comprendre les concepts d'un système DAO. Utiliser les menus, raccourcis, icônes et les outils les plus appropriés.",checked,online,5,Day,"Une formation de base et une bonne pratique d'AutoCAD sont nécessaires.
Avoir suivi AutoCAD 3D Initiation",Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,AutoCAD,Ziggourat Formation,"A distance, Paris",1900
Bien débuter en réalisation vidéo,"Apprendre la réalisation vidéo pour toute personne désireuse de réaliser ses propres vidéos, même débutants, demandeurs d'emploi, web-entrepreneurs, formateurs, enseignants, chargés de communication, musiciens, producteurs, techniciens du spectacle vivant...",,online,2,Month,"Pratique courante d'internet au quotidien : traitement de texte, internet, réseaux sociaux
Disposer d'un ordinateur, d'une connexion internet et au minimum d'un smartphone",Attestation de stage détaillant les compétences acquises par le stagiaire.,"Journalisme, Médias & Cinéma",,Audio Formation,A distance,1480
Bien préparer sa création d’entreprise,Initiez-vous à tous les aspects de la création d’entreprise,checked,online,5,Day,"Maîtrise des outils bureautiques (traitement de texte, navigation internet, tableur)","Après réalisation d’un test d’évaluation, une
attestation d’acquisition de compétences vous
sera remise en fin de formation.",Entrepreneuriat,,CréActifs,"A distance, Paris",1100
Blender 3D et Photoshop : création de textures,"Identifier et maîtriser les aspects avancés de la modélisation objet en 3D, les modes d'animation et créer de nouvelles textures et de nouveaux rendus.",checked,online,10,Day,"Maîtrise de l'outil informatique et connaissances avancées sur Photoshop.
Avoir suivi Photoshop Perfectionnement, Photoshop Consolidation et Photoshop Initiation",Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d’un logiciel d’édition d’images (ICDL-PCIE),Informatique,Blender 3D,Ziggourat Formation,"A distance, Paris",3850
Chargé(e) d'affaires en rénovation énergétique du bâtiment,"Cette formation en alternance vise à vous former au nouveau métier de Chargé(e) d'affaire en rénovation énergétique du bâtiment. Organisée en partenariat Qwantic, l'organisme de formation de Synergie Family, elle vous transmettra les connaissances, outils et techniques des différentes facettes du métier : conseille aux particuliers, accompagnement des maîtres d'ouvrage, conseil aux ouvriers, contrôme de la qualité des matériaux...",,face to face,980,Hour,Présenter un projet professionnel en lien avec la formation. Avoir un diplôme de niveau BAC ou équivalent. Avoir une expérience dans le secteur du bâtiment est un vrai plus.,Certification - Titre professionnel : Chargé d'affaires en rénovation énergétique du bâtiment,Développement durable,,Make Ici,Marseille,0
Chef de projet digital,"S'organiser et faire preuve d'autonomie, de rigueur pour animer, coordonner et conduire un projet.",checked,online,3,Day,"Avoir de bonnes connaissances du Web, de la publicité ou de la communication média est indispensable pour suivre cette formation.
Avoir suivi Stratégie et Marketing Digital : notoriété, acquisition, conversion",Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Gestion de Projet,,Ziggourat Formation,"A distance, Paris",1800
Communiquer pour trouver ses clients,Apprendre à identifier les outils adaptés pour trouver vos clients,checked,online,5,Day,"Maîtrise des outils bureautiques (traitement de texte, navigation internet, tableur)","Après réalisation d’un test d’évaluation, une
attestation d’acquisition de compétences vous
sera remise en fin de formation.",Marketing,,CréActifs,"A distance, Paris",1300
Community management,Cette formation présente les notions et compétences essentielles et relatives au fondamentaux du Marketing Numérique. Les participants de cette formation seront capables de comprendre les options et les principes du Marketing Numérique et enfin d’utiliser et maitriser les outils d’analyses.,checked,online,6,Hour,"Avoir un ordinateur avec une connexion internet, une webcam, un micro - Maitriser les bases de la navigation sur internet",Certification ICDL,Réseaux sociaux,,Mda ACADEMY,A distance,1130
Community manager,Proposer de manière autonome une stratégie social media adaptée à sa marque. Organiser la production et/ou la médiatisation du contenu de marque. Mesurer et optimiser ses investissements social media.,checked,online,2,Day,Avoir identifié les principaux aspects liés aux médias sociaux et au marketing sur Internet.,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Réseaux sociaux,,Ziggourat Formation,"A distance, Paris",1350
Comprendre et choisir son statut juridique,Apprendre à choisir le statut juridique adapté à son projet,checked,online,2,Day,"Maîtrise des outils bureautiques (traitement de texte, navigation internet, tableur)","Après réalisation d’un test d’évaluation, une
attestation d’acquisition de compétences vous
sera remise en fin de formation.",Entrepreneuriat,,CréActifs,"A distance, Paris",650
"Comptabilité, Gestion pour non-comptables",Apprendre à gérer sa comptabilité d'entreprise,checked,online,5,Day,"Maîtrise des outils bureautiques (traitement de texte, navigation internet, tableur)","Après réalisation d’un test d’évaluation, une
attestation d’acquisition de compétences vous
sera remise en fin de formation.","Finance, Banque & Assurance",,CréActifs,"A distance, Paris",1300
Conception 2D et découpe laser,"Cette formation courte, intensive et certifiante vise à vous former à l'utilisation du logiciel de DAO Illustrator afin de concevoir et découper des pièces à l'aide d'une découpeuse laser. La formation vous offre toutes les clés afin que vous puissiez être autonome en dessin technique, et vous apprend à utiliser une découpeuse laser à travers des projets concrets, au sein de nos espaces FabLab !",checked,face to face,32,Hour,Débutant,"Certification:
Maîtrise des techniques de conception de dessins techniques structurés",Informatique,Illustrator,Make Ici,"Montreuil, Nantes, Marseille",1080
Conception assistée par ordinateur (CAO),"Acquérir ou certifier des compétences vers la conception 3D dans les secteurs de l’architecture, de l’ingénierie et de la construction.",checked,online,4,Hour,"Avoir un ordinateur avec une connexion internet, une webcam, un micro - Être à l'aise avec l'ordinateur - Maîtriser Internet - Avoir un compte sur Wordpress",Certification ICDL,Informatique,InDesign,Mda ACADEMY,A distance,1130
Concevoir des interfaces pour mobile,Identifier les principes de l'expérience mobile. Identifier les étapes de conception d'une applications natives ou hybrides.,checked,online,3,Day,Une maîtrise d'un logiciel de graphisme est un plus pour suivre cette formation.,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Digital & Numérique,Gestion de projet web/mobile,Ziggourat Formation,"A distance, Paris",1500
Concevoir un meuble,"Cette formation intensive vise à vous transmettre les gestes techniques et outils essentiels de la menuiserie afin de concevoir et de fabriquer votre propre meuble. Elle vous offre toutes les clés afin que vous puissiez être autonome en conception et fabrication de mobilier, et vous apprend à utiliser la plupart des outils du menuisier.",checked,face to face,80,Hour,Niveau débutant,"Bloc de compétence #1 du CAP Menuisier Fabricant de Menuiserie, Mobilier et Agencement : Analyse d'une situation professionnelle",Manuel,Menusier(e),Make Ici,"Montreuil, Nantes, Marseille",2640
Conduire le changement pour le manager,"Analyser le changement pour en maîtriser la portée et les enjeux dans le but d'élaborer une stratégie globale d'accompagnement et de déploiement du changement. Anticiper les limites du changement pour faire face aux résistances, prévenir et gérer les éventuels conflits afin de créer une dynamique de groupe positive.",checked,online,2,Day,Aucun prérequis n'est nécessaire pour cette formation.,Vous avez la possibilité de passer une certification à l’issue de votre formation : Management/Conduire un changement,Management,,Ziggourat Formation,"A distance, Paris",1200
Création d'entreprise,"Bénéficier d'un appui à la création d'entreprise avec l’aide au montage du projet, au démarrage, au développement et à la pérennisation d’une entreprise.",checked,online,5,Hour,"Vouloir créer ou reprendre un entreprise (signature d'une attestation sur l'honneur) - Avoir un ordinateur avec une connexion internet, une webcam, un micro",Cette formation n'est pas certifiante.,Entrepreneuriat,,Mda ACADEMY,A distance,990
Création de site internet,"Cette formation sur WordPress va vous permettre de créer et de gérer des blogs, comme des sites Web plus institutionnels et d’apprendre à configurer votre site de façon simple mais très efficace.",checked,online,8,Hour,"Avoir un ordinateur avec une connexion internet, une webcam, un micro - Être à l'aise avec l'ordinateur - Maîtriser Internet - Avoir un compte sur Wordpress",Certification ICDL,Informatique,WordPress,Mda ACADEMY,A distance,1130
Création graphique vectorielle,Apprendre les fonctions du logiciel Illustrator pour la création d'images vectorielles.,checked,online,4,Hour,"Avoir un ordinateur avec une connexion internet, une webcam, un micro - Être à l'aise avec l'ordinateur - Maîtriser Internet - Avoir un compte sur Wordpress",Certification ICDL,Informatique,Illustrator,Mda ACADEMY,A distance,1110
Creative technologist,"Cette formation immersive et certifiante vise à vous transmettre toutes les compétences d'un Creative Technologist, afin de mener des projets de fabrication d'installations et d'objets connectés. Organisée autour de projets concrets, elle vous transmettra les outils et savoir-faire essentiels en termes de design, de gestion de projet, de modélisationet de fabrication numérique, d'électronique, de programmation en no-code et d'Iot.",,online,350,Hour,Débutant,Certification: Techniques de conception et design de pièces et d'assemblages 3D paramétriques,"Création, Conception & Design",,Make Ici,"Montreuil, Nantes, Marseille",3500
Créer sa micro-entreprise - Devenir Auto-entrepreneur,Apprendre à créer une micro-entreprise,checked,online,32,Hour,"Maîtrise des outils bureautiques (traitement de texte, navigation internet, tableur)","Après réalisation d’un test d’évaluation, une
attestation d’acquisition de compétences vous
sera remise en fin de formation.",Entrepreneuriat,,CréActifs,"A distance, Paris",1100
Créer son entreprise de production multimédia ou musicale,"Apprendre à créer son entreprise de production pour les débutants, demandeurs d'emploi, vidéastes, musiciens, producteurs musicaux, techniciens du spectacles vivant",,online,1,Month,"Pratique courante d'internet au quotidien : traitement de texte, internet, réseaux sociaux. Disposer d'un ordinateur et d'une connexion internet",Attestation de stage détaillant les compétences acquises par le stagiaire.,"Journalisme, Médias & Cinéma",,Audio Formation,A distance,950
Créer son entreprise de services à la personne,Apprendre les connaissances nécessaires pour créer une entreprise de services à la personne,checked,online,5,Day,"Maîtrise des outils bureautiques (traitement de texte, navigation internet, tableur)","Après réalisation d’un test d’évaluation, une
attestation d’acquisition de compétences vous
sera remise en fin de formation.",Entrepreneuriat,,CréActifs,"A distance, Paris",2200
"Créer, gérer et référencer son site internet","Apprendre à créer votre site web professionnel, à le faire connaître et le gérer au quotidien",checked,online,12,Day,"Maîtrise des outils bureautiques (traitement de texte, navigation internet, tableur)","Après réalisation d’un test d’évaluation, une
attestation d’acquisition de compétences vous
sera remise en fin de formation.",Marketing Digital,,CréActifs,"A distance, Paris",2880
Cybersécurité,Boostez votre carrière avec ce bootcamp en Cybersécurité,,online,9,Week,Aucun,Certificat de suivi de formation,Informatique,,Ironhack,"A distance, Paris",7500
Cybersécurité,Appliquer les bonnes pratiques de la cybersécurité. Rester en veille sur les menaces potentielles. Concevoir une Cyber stratégie pour son organisation. Être à l’écoute des nouvelles menaces. Mettre en place une amélioration continue des process organisationnels et techniques.,checked,online,2,Day,Aucun prérequis n'est nécessaire.,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,,Ziggourat Formation,"A distance, Paris",1500
Data Analyse,Boostez votre carrière avec ce bootcamp en Data Analyse,,online,9,Week,Niveau études secondaires,Certificat de suivi de formation,Informatique,,Ironhack,"A distance, Paris",8000
Datavisualisation,Comprendre les enjeux du data storytelling. Disposer des premiers éléments pour mener un projet de datavisualisation.,checked,online,4,Day,Aucun pré-requis nécessaire.,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Digital & Numérique,Data analyst,Ziggourat Formation,"A distance, Paris",2200
Décrocher un Marché Public,Formation adaptée à la déficience visuelle et/ou auditive,,face to face,1,Day,La formation s'adresse à toute personne souhaitant maîtriser les divers aspects liés à une candidature à un marché public.,"La formation est évaluée par le biais d'une fiche qui porte à la fois sur les aspects organisationnels, méthodologiques et pédagogiques de la formation ainsi que sur la réponse aux attentes des stagiaires.",Achats,Réaliser appel d'offres,Public Arena,Rennes,702
Design Thinking,Comprendre les enjeux relatifs au contexte professionnel. Utiliser les différents leviers de l’intelligence collective. Produire des dispositifs de conception des produits/prestations/services créateurs de valeur. Faire preuve de « frugalité » dans son mode de conduite de projets innovants.,checked,online,2,Day,Aucune connaissance particulière.,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Gestion de Projet,,Ziggourat Formation,"A distance, Paris",1600
Développement Web,Boostez votre carrière avec ce bootcamp en Développement Web,checked,online,9,Week,Aucun,Certificat de suivi de formation,Informatique,,Ironhack,"A distance, Paris",8000
"Développer son activité
grâce au marketing digital","<p>Une formation d&eacute;di&eacute;e aux bases du marketing digital pour les personnes ind&eacute;pendantes.</p>
<p>Apprendre &agrave; lancer son activit&eacute; d&rsquo;ind&eacute;pendant et se faire conna&icirc;tre en ligne.</p>",checked,online,40,Hour,"Pratiques régulières du web.
Connaissance des outils de bureautique",Attestation de complétion et un certificat de réussite,Marketing Digital,,Digi Atlas,A distance,1428
Développer votre culture digitale,S'approprier le vocabulaire digital et adopter des réflexes numériques. Se lancer sur le web et les réseaux sociaux. Comprendre les enjeux de la transformation numérique.,checked,online,2,Day,Pas de pré-requis pour suivre cette formation.,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Digital & Numérique,,Ziggourat Formation,"A distance, Paris",1350
Devenir Consultant indépendant,Apprendre les spécificités du métier de consultant indépendant,checked,online,5,Day,"Maîtrise des outils bureautiques (traitement de texte, navigation internet, tableur)","Après réalisation d’un test d’évaluation, une
attestation d’acquisition de compétences vous
sera remise en fin de formation.",Entrepreneuriat,,CréActifs,"A distance, Paris",2480
Devenir Formateur indépendant,Apprendre les spécificités du métier de consultant d'hôtes,checked,online,8,Day,"Maîtrise des outils bureautiques (traitement de texte, navigation internet, tableur)","Après réalisation d’un test d’évaluation, une
attestation d’acquisition de compétences vous
sera remise en fin de formation.",Former & Transmettre,,CréActifs,"A distance, Paris",2200
Devenir Manager,"A l'issue de cette formation le stagiaire sera capable de développer une communication managériale efficace, de pratiquer des
délégations responsabilisantes, de conduire réunions et entretiens avec efficacité et de développer l'implication de ses
collaborateurs.",checked,online,30,Hour,Aucun,À l’issue de la formation vous pourrez passer si vous le souhaitez la certification Management de la performance qui vous permettra d’attester votre niveau acquis.,Management,Diriger une équipe,Goo Formation,A distance,2000
Écoconception et fabrication 2.0,"Cette formation intensive vise à accompagner tout professionnel autour de projets ou de filières de fabrication, et souhaitant transformer son modèle d'activité vers un système productif respectueux de l'environnement, et donc soutenable. Elle propose une approche théorique autour de l'écoconception, une immersion au coeur des filières de l'économie circulaire, un apprentissage technique de la fabrication numérique, afin de (re)penser des modèles de production.",,face to face,210,Hour,Débutant,Certification : Maîtrise des techniques de conception de dessins techniques structurés (RS1897).,"Création, Conception & Design",,Make Ici,"Montreuil, Marseille",3600
Enjeux et perspectives du Big Data,"Identifier les enjeux de la collecte, l'analyse, la modélisation de données-clients.",checked,online,2,Day,Cette formation Enjeux et perspectives du Big Data nécessite une bonne culture générale sur les systèmes d'information et/ou les organisations.,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Digital & Numérique,,Ziggourat Formation,"A distance, Paris",1350
Espagnol certification CLOE,La certification CLOE Espagnol permet d’évaluer et de certifier les compétences générales et professionnelles en espagnol du niveau A1 au niveau C2 du Cadre Européen Commun de Référence pour les Langues (CECRL).,checked,online,8,Hour,"Avoir un ordinateur avec une connexion internet, une webcam, un micro",Certification CLOE validée par la CCI France,Langues,Espagnol,Mda ACADEMY,A distance,890
Examen certifié AMF C18,"Le passage d’un examen certifié par l’AMF est désormais obligatoire, pour toute personne intervenant dans le domaine des instruments financiers, qui doit justifier de la maitrise d’un ensemble minimal de connaissances : CIF, salarié de PSI…",checked,online,40,Hour,"Le passage d’un examen certifié par l’AMF est désormais obligatoire, pour toute personne intervenant dans le domaine des instruments financiers, qui doit justifier de la maitrise d’un ensemble minimal de connaissances : CIF, salarié de PSI…","Examen final de 120 QCM en deux heures, réussite exigée de 80% sur chacune des catégories A ou C. Calendrier des sessions d’examen à distance avec vidéosurveillance dans le cours en ligne. L’attestation de réussite est disponible immédiatement","Finance, Banque & Assurance",,Sumatra Formation Conseil,A distance,220
